country_code,short_name,region,year,value
AFG,Afghanistan,South Asia,2003,935.0
AFG,Afghanistan,South Asia,2007,2600.0
AFG,Afghanistan,South Asia,2011,3826.0
AFG,Afghanistan,South Asia,2013,3954.0
AGO,Angola,Sub-Saharan Africa,2000,3257.0
AGO,Angola,Sub-Saharan Africa,2008,2083.0
AGO,Angola,Sub-Saharan Africa,2014,40763.0
AGO,Angola,Sub-Saharan Africa,2018,4752.0
ALB,Albania,Europe & Central Asia,2002,947.0
ALB,Albania,Europe & Central Asia,2004,481.0
ALB,Albania,Europe & Central Asia,2005,1045.0
ALB,Albania,Europe & Central Asia,2008,890.0
ALB,Albania,Europe & Central Asia,2012,1270.0
ARG,Argentina,Latin America & Caribbean,2000,6464.0
ARG,Argentina,Latin America & Caribbean,2001,6500.0
ARG,Argentina,Latin America & Caribbean,2002,7499.0
ARG,Argentina,Latin America & Caribbean,2003,6549.0
ARG,Argentina,Latin America & Caribbean,2004,6291.0
ARG,Argentina,Latin America & Caribbean,2005,8018.0
ARG,Argentina,Latin America & Caribbean,2006,8925.0
ARG,Argentina,Latin America & Caribbean,2007,5435.0
ARG,Argentina,Latin America & Caribbean,2008,8526.0
ARG,Argentina,Latin America & Caribbean,2009,8343.0
ARG,Argentina,Latin America & Caribbean,2010,8229.0
ARG,Argentina,Latin America & Caribbean,2011,8020.0
ARG,Argentina,Latin America & Caribbean,2012,7859.0
ARG,Argentina,Latin America & Caribbean,2013,8022.0
ARG,Argentina,Latin America & Caribbean,2014,8590.0
ARG,Argentina,Latin America & Caribbean,2015,10964.0
ARG,Argentina,Latin America & Caribbean,2016,8524.0
ARG,Argentina,Latin America & Caribbean,2017,22063.0
ARG,Argentina,Latin America & Caribbean,2018,8309.0
ARG,Argentina,Latin America & Caribbean,2019,10702.0
ARM,Armenia,Europe & Central Asia,2004,2732.0
ARM,Armenia,Europe & Central Asia,2007,3099.0
ARM,Armenia,Europe & Central Asia,2008,3023.0
ARM,Armenia,Europe & Central Asia,2009,3092.0
ARM,Armenia,Europe & Central Asia,2011,2881.0
ARM,Armenia,Europe & Central Asia,2013,1725.0
ARM,Armenia,Europe & Central Asia,2014,1738.0
ARM,Armenia,Europe & Central Asia,2015,1656.0
ARM,Armenia,Europe & Central Asia,2016,1758.0
ARM,Armenia,Europe & Central Asia,2018,1609.0
AUS,Australia,East Asia & Pacific,2001,1820.0
AUS,Australia,East Asia & Pacific,2002,1642.0
AUS,Australia,East Asia & Pacific,2003,2133.0
AUS,Australia,East Asia & Pacific,2004,2081.0
AUS,Australia,East Asia & Pacific,2005,2219.0
AUS,Australia,East Asia & Pacific,2006,2230.0
AUS,Australia,East Asia & Pacific,2007,2197.0
AUS,Australia,East Asia & Pacific,2008,2260.0
AUS,Australia,East Asia & Pacific,2009,2364.0
AUS,Australia,East Asia & Pacific,2010,2453.0
AUS,Australia,East Asia & Pacific,2011,2380.0
AUS,Australia,East Asia & Pacific,2012,2337.0
AUS,Australia,East Asia & Pacific,2013,2280.0
AUS,Australia,East Asia & Pacific,2014,2227.0
AUS,Australia,East Asia & Pacific,2015,2248.0
AUT,Austria,Europe & Central Asia,2004,966.0
AUT,Austria,Europe & Central Asia,2005,1038.0
AUT,Austria,Europe & Central Asia,2006,1150.0
AUT,Austria,Europe & Central Asia,2007,1368.0
AUT,Austria,Europe & Central Asia,2008,1207.0
AUT,Austria,Europe & Central Asia,2009,1299.0
AUT,Austria,Europe & Central Asia,2010,1440.0
AUT,Austria,Europe & Central Asia,2011,1411.0
AUT,Austria,Europe & Central Asia,2012,1419.0
AUT,Austria,Europe & Central Asia,2013,1307.0
AUT,Austria,Europe & Central Asia,2014,1418.0
AUT,Austria,Europe & Central Asia,2015,1460.0
AUT,Austria,Europe & Central Asia,2016,1473.0
AUT,Austria,Europe & Central Asia,2017,1529.0
AUT,Austria,Europe & Central Asia,2018,1508.0
AZE,Azerbaijan,Europe & Central Asia,2011,2273.0
AZE,Azerbaijan,Europe & Central Asia,2015,2016.0
BEL,Belgium,Europe & Central Asia,2004,1553.0
BEL,Belgium,Europe & Central Asia,2005,1614.0
BEL,Belgium,Europe & Central Asia,2006,1936.0
BEL,Belgium,Europe & Central Asia,2007,2070.0
BEL,Belgium,Europe & Central Asia,2008,2077.0
BEL,Belgium,Europe & Central Asia,2009,2002.0
BEL,Belgium,Europe & Central Asia,2010,1901.0
BEL,Belgium,Europe & Central Asia,2011,1770.0
BEL,Belgium,Europe & Central Asia,2012,1804.0
BEL,Belgium,Europe & Central Asia,2013,1887.0
BEL,Belgium,Europe & Central Asia,2014,1895.0
BEL,Belgium,Europe & Central Asia,2015,1853.0
BEL,Belgium,Europe & Central Asia,2016,1842.0
BEL,Belgium,Europe & Central Asia,2017,1928.0
BEL,Belgium,Europe & Central Asia,2018,1833.0
BEN,Benin,Sub-Saharan Africa,2003,412.0
BEN,Benin,Sub-Saharan Africa,2011,941.0
BEN,Benin,Sub-Saharan Africa,2015,854.0
BFA,Burkina Faso,Sub-Saharan Africa,2003,780.0
BFA,Burkina Faso,Sub-Saharan Africa,2009,523.0
BFA,Burkina Faso,Sub-Saharan Africa,2014,935.0
BGD,Bangladesh,South Asia,2003,6013.0
BGD,Bangladesh,South Asia,2005,2973.0
BGD,Bangladesh,South Asia,2010,3158.0
BGD,Bangladesh,South Asia,2013,4687.0
BGD,Bangladesh,South Asia,2015,2423.0
BGR,Bulgaria,Europe & Central Asia,2001,987.0
BGR,Bulgaria,Europe & Central Asia,2007,847.0
BGR,Bulgaria,Europe & Central Asia,2008,783.0
BGR,Bulgaria,Europe & Central Asia,2009,1045.0
BGR,Bulgaria,Europe & Central Asia,2010,1158.0
BGR,Bulgaria,Europe & Central Asia,2011,1266.0
BGR,Bulgaria,Europe & Central Asia,2012,1110.0
BGR,Bulgaria,Europe & Central Asia,2013,926.0
BGR,Bulgaria,Europe & Central Asia,2014,902.0
BGR,Bulgaria,Europe & Central Asia,2015,886.0
BGR,Bulgaria,Europe & Central Asia,2016,1334.0
BGR,Bulgaria,Europe & Central Asia,2017,1321.0
BGR,Bulgaria,Europe & Central Asia,2018,1268.0
BIH,Bosnia and Herz.,Europe & Central Asia,2001,2645.0
BIH,Bosnia and Herz.,Europe & Central Asia,2006,2671.0
BIH,Bosnia and Herz.,Europe & Central Asia,2007,2561.0
BIH,Bosnia and Herz.,Europe & Central Asia,2008,2615.0
BIH,Bosnia and Herz.,Europe & Central Asia,2009,2502.0
BIH,Bosnia and Herz.,Europe & Central Asia,2010,2433.0
BIH,Bosnia and Herz.,Europe & Central Asia,2011,2400.0
BIH,Bosnia and Herz.,Europe & Central Asia,2012,2145.0
BIH,Bosnia and Herz.,Europe & Central Asia,2013,2313.0
BIH,Bosnia and Herz.,Europe & Central Asia,2014,2202.0
BIH,Bosnia and Herz.,Europe & Central Asia,2015,2122.0
BIH,Bosnia and Herz.,Europe & Central Asia,2016,1807.0
BOL,Bolivia,Latin America & Caribbean,2000,664.0
BOL,Bolivia,Latin America & Caribbean,2001,878.0
BOL,Bolivia,Latin America & Caribbean,2002,907.0
BOL,Bolivia,Latin America & Caribbean,2003,1750.0
BOL,Bolivia,Latin America & Caribbean,2005,610.0
BOL,Bolivia,Latin America & Caribbean,2006,751.0
BOL,Bolivia,Latin America & Caribbean,2007,767.0
BOL,Bolivia,Latin America & Caribbean,2008,650.0
BOL,Bolivia,Latin America & Caribbean,2009,714.0
BOL,Bolivia,Latin America & Caribbean,2011,1683.0
BOL,Bolivia,Latin America & Caribbean,2012,1576.0
BOL,Bolivia,Latin America & Caribbean,2014,1990.0
BOL,Bolivia,Latin America & Caribbean,2015,1722.0
BOL,Bolivia,Latin America & Caribbean,2016,1846.0
BOL,Bolivia,Latin America & Caribbean,2017,1786.0
BOL,Bolivia,Latin America & Caribbean,2018,1858.0
BOL,Bolivia,Latin America & Caribbean,2019,1824.0
BRA,Brazil,Latin America & Caribbean,2001,20043.0
BRA,Brazil,Latin America & Caribbean,2002,20643.0
